"state","rank","percent_tested","critical_reading","math","writing","combined","code"
"Alabama",22,7,544,534,530,1608,"AL"
"Alaska",35,52,508,505,482,1495,"AK"
"Arizona",26,35,521,528,502,1551,"AZ"
"Arkansas",15,4,572,570,555,1697,"AR"
"California",34,57,498,512,495,1505,"CA"
"Colorado",13,14,578,581,562,1721,"CO"
"Connecticut",30,85,508,512,512,1532,"CT"
"Delaware",51,100,451,457,443,1351,"DE"
"District of Columbia",48,91,473,466,461,1400,"DC"
"Florida",42,67,492,490,475,1457,"FL"
"Georgia",45,75,490,487,475,1452,"GA"
"Hawaii",44,64,481,504,468,1453,"HI"
"Idaho",50,99,454,459,451,1364,"ID"
"Illinois",1,5,600,617,590,1807,"IL"
"Indiana",39,70,493,500,477,1470,"IN"
"Iowa",7,3,592,601,570,1763,"IA"
"Kansas",10,6,589,595,568,1752,"KS"
"Kentucky",11,5,585,584,572,1741,"KY"
"Louisiana",19,5,556,553,546,1655,"LA"
"Maine",49,95,462,467,451,1380,"ME"
"Maryland",36,73,497,500,486,1483,"MD"
"Massachusetts",25,83,515,529,509,1553,"MA"
"Michigan",3,4,590,610,582,1782,"MI"
"Minnesota",4,6,595,608,577,1780,"MN"
"Mississippi",18,3,568,547,558,1673,"MS"
"Missouri",5,4,596,595,582,1773,"MO"
"Montana",23,25,539,540,516,1595,"MT"
"Nebraska",12,4,584,583,567,1734,"NE"
"Nevada",43,48,492,494,468,1454,"NV"
"New Hampshire",24,70,524,528,515,1567,"NH"
"New Jersey",32,78,499,522,500,1521,"NJ"
"New Mexico",21,12,550,545,531,1626,"NM"
"New York",41,76,485,501,477,1463,"NY"
"North Carolina",38,62,495,506,478,1479,"NC"
"North Dakota",2,2,609,609,581,1799,"ND"
"Ohio",20,17,548,556,531,1635,"OH"
"Oklahoma",16,5,571,569,549,1689,"OK"
"Oregon",28,49,520,520,499,1539,"OR"
"Pennsylvania",37,71,494,504,482,1480,"PA"
"Rhode Island",40,72,491,490,487,1468,"RI"
"South Carolina",47,64,484,487,465,1436,"SC"
"South Dakota",8,3,592,601,567,1760,"SD"
"Tennessee",14,8,574,569,566,1709,"TN"
"Texas",46,59,477,499,461,1437,"TX"
"Utah",17,6,569,566,549,1684,"UT"
"Vermont",27,61,516,519,505,1540,"VT"
"Virginia",31,71,516,514,498,1528,"VA"
"Washington",29,60,515,523,499,1537,"WA"
"West Virginia",33,15,514,501,498,1513,"WV"
"Wisconsin",6,4,591,604,576,1771,"WI"
"Wyoming",9,4,581,588,588,1757,"WY"
