"state","percent_tested","composite","english","math","reading","science","code"
"Alabama",78,20.3,20.4,19.5,20.7,20.2,"AL"
"Alaska",28,21.1,20.3,21.2,21.7,20.9,"AK"
"Arizona",28,20,18.9,20.4,20.2,19.9,"AZ"
"Arkansas",81,20.3,20.1,19.9,20.6,20.2,"AR"
"California",22,22.2,21.7,22.9,22.3,21.5,"CA"
"Colorado",100,20.6,19.9,20.4,21.1,20.7,"CO"
"Connecticut",24,23.7,23.8,23.5,23.9,22.9,"CT"
"Delaware",13,23,22.8,22.7,23.4,22.5,"DE"
"District of Columbia",29,19.8,19.5,19.9,20.2,19.2,"DC"
"Florida",65,19.5,18.6,19.7,20.1,19.1,"FL"
"Georgia",44,20.7,20.1,20.7,20.9,20.5,"GA"
"Hawaii",22,21.6,20.9,22.2,21.5,21.2,"HI"
"Idaho",60,21.8,21.2,21.4,22.4,21.6,"ID"
"Illinois",100,20.7,20.3,20.7,20.8,20.5,"IL"
"Indiana",26,22.3,21.7,22.4,22.6,21.9,"IN"
"Iowa",60,22.2,21.8,21.8,22.6,22.3,"IA"
"Kansas",75,22,21.4,21.7,22.3,21.9,"KS"
"Kentucky",100,19.4,18.9,19.1,19.7,19.5,"KY"
"Louisiana",98,20.1,20.1,19.6,20.2,20.2,"LA"
"Maine",10,23.2,23.2,23,23.6,22.5,"ME"
"Maryland",18,22.3,22,22.3,22.4,21.8,"MD"
"Massachusetts",21,24,24,24.3,24.2,23.1,"MA"
"Michigan",100,19.7,18.9,19.7,19.7,19.9,"MI"
"Minnesota",70,22.9,22.3,22.9,23.2,22.8,"MN"
"Mississippi",96,18.8,18.6,18.3,18.8,18.8,"MS"
"Missouri",69,21.6,21.5,21,22,21.6,"MO"
"Montana",58,22,21.3,21.7,22.7,21.9,"MT"
"Nebraska",73,22.1,21.8,21.6,22.4,22,"NE"
"Nevada",30,21.5,20.8,21.5,22,21.3,"NV"
"New Hampshire",17,23.7,23.6,23.5,24.1,22.9,"NH"
"New Jersey",17,23.2,23.1,23.6,23.2,22.4,"NJ"
"New Mexico",66,20.1,19.3,19.7,20.5,20.2,"NM"
"New York",27,23.3,22.7,23.6,23.3,23.1,"NY"
"North Carolina",16,21.9,21.1,22.3,22.2,21.6,"NC"
"North Dakota",81,21.5,20.7,21.4,21.7,21.6,"ND"
"Ohio",66,21.8,21.2,21.5,22.1,21.8,"OH"
"Oklahoma",73,20.7,20.4,19.9,21.2,20.6,"OK"
"Oregon",34,21.5,20.5,21.5,22,21.3,"OR"
"Pennsylvania",17,21.9,21.3,22.1,22.1,21.4,"PA"
"Rhode Island",11,22.8,22.8,22.4,23.3,22,"RI"
"South Carolina",52,20,19.2,20.1,20,20,"SC"
"South Dakota",79,21.8,21.1,21.6,22,21.9,"SD"
"Tennessee",100,19.6,19.4,19,19.9,19.6,"TN"
"Texas",33,20.8,19.7,21.4,20.8,20.9,"TX"
"Utah",71,21.8,21.4,21.1,22.5,21.7,"UT"
"Vermont",26,23.2,22.8,22.8,23.7,22.8,"VT"
"Virginia",22,22.3,22,22.1,22.5,21.9,"VA"
"Washington",19,23,22.6,23.1,23.5,22.5,"WA"
"West Virginia",64,20.7,20.7,19.6,21.3,20.6,"WV"
"Wisconsin",69,22.1,21.5,22,22.3,22.2,"WI"
"Wyoming",100,20,19,19.8,20.4,20.1,"WY"
