"state","rank","percent_tested","critical_reading","math","writing","combined","code"
"Alabama",22,6,547,538,532,1617,"AL"
"Alaska",35,54,507,503,475,1485,"AK"
"Arizona",27,36,522,525,500,1547,"AZ"
"Arkansas",16,4,573,571,554,1698,"AR"
"California",34,60,498,510,496,1504,"CA"
"Colorado",13,14,582,586,567,1735,"CO"
"Connecticut",31,88,507,510,508,1525,"CT"
"Delaware",50,100,456,459,444,1359,"DE"
"District of Columbia",51,100,440,438,431,1309,"DC"
"Florida",44,72,491,485,472,1448,"FL"
"Georgia",45,77,488,485,472,1445,"GA"
"Hawaii",42,62,484,504,472,1460,"HI"
"Idaho",49,100,458,456,450,1364,"ID"
"Illinois",2,4,599,616,587,1802,"IL"
"Indiana",39,70,497,500,477,1474,"IN"
"Iowa",3,3,605,611,578,1794,"IA"
"Kansas",10,5,591,596,566,1753,"KS"
"Kentucky",11,4,589,585,572,1746,"KY"
"Louisiana",19,4,561,556,550,1667,"LA"
"Maine",48,95,467,471,449,1387,"ME"
"Maryland",40,78,492,495,481,1468,"MD"
"Massachusetts",25,84,516,531,509,1556,"MA"
"Michigan",6,3,593,610,581,1784,"MI"
"Minnesota",5,5,598,610,578,1786,"MN"
"Mississippi",14,3,583,566,565,1714,"MS"
"Missouri",8,4,595,597,579,1771,"MO"
"Montana",21,17,555,552,530,1637,"MT"
"Nebraska",12,3,589,587,569,1745,"NE"
"Nevada",43,54,495,494,469,1458,"NV"
"New Hampshire",24,70,524,530,512,1566,"NH"
"New Jersey",30,79,501,523,502,1526,"NJ"
"New Mexico",23,12,548,543,526,1617,"NM"
"New York",41,76,488,502,478,1468,"NY"
"North Carolina",36,63,499,507,477,1483,"NC"
"North Dakota",1,2,612,620,584,1816,"ND"
"Ohio",20,15,555,562,535,1652,"OH"
"Oklahoma",17,4,576,571,550,1697,"OK"
"Oregon",28,47,523,522,499,1544,"OR"
"Pennsylvania",37,71,497,504,480,1481,"PA"
"Rhode Island",38,73,497,496,487,1480,"RI"
"South Carolina",46,64,488,490,465,1443,"SC"
"South Dakota",4,2,604,609,579,1792,"SD"
"Tennessee",15,7,578,570,566,1714,"TN"
"Texas",47,62,476,495,461,1432,"TX"
"Utah",18,5,571,568,551,1690,"UT"
"Vermont",26,63,522,525,507,1554,"VT"
"Virginia",29,73,518,515,497,1530,"VA"
"Washington",33,63,510,518,491,1519,"WA"
"West Virginia",32,14,517,505,500,1522,"WV"
"Wisconsin",7,3,596,608,578,1782,"WI"
"Wyoming",9,3,590,599,573,1762,"WY"
