"state","percent_tested","composite","english","math","reading","science","code"
"Alabama",81,20.3,20.4,19.6,20.7,20.1,"AL"
"Alaska",40,21.2,20.3,21.4,21.7,21,"AK"
"Arizona",34,19.7,18.6,20.3,19.9,19.6,"AZ"
"Arkansas",91,19.9,19.6,19.7,20.2,19.8,"AR"
"California",24,22.1,21.6,22.7,22,21.4,"CA"
"Colorado",100,20.7,20.1,20.4,20.9,20.7,"CO"
"Connecticut",26,23.9,24,23.9,24.1,23.1,"CT"
"Delaware",16,22.4,22,22.4,22.7,22,"DE"
"District of Columbia",28,20,19.7,20.2,20.4,19.4,"DC"
"Florida",66,19.6,18.8,19.9,20.2,19.1,"FL"
"Georgia",47,20.6,20.1,20.7,20.8,20.3,"GA"
"Hawaii",24,21.3,20.6,21.8,21.3,21.1,"HI"
"Idaho",64,21.7,21.1,21.3,22.2,21.5,"ID"
"Illinois",100,20.9,20.6,20.9,20.8,20.7,"IL"
"Indiana",29,22.3,21.7,22.4,22.6,21.9,"IN"
"Iowa",61,22.3,21.7,21.9,22.6,22.4,"IA"
"Kansas",79,22,21.4,21.8,22.3,21.9,"KS"
"Kentucky",100,19.6,19.2,19.1,20,19.6,"KY"
"Louisiana",100,20.2,20.4,19.7,20.3,20.1,"LA"
"Maine",9,23.3,23.3,23.2,23.8,22.5,"ME"
"Maryland",20,22.1,21.8,22.2,22.2,21.6,"MD"
"Massachusetts",22,24.2,24.1,24.6,24.4,23.2,"MA"
"Michigan",100,20,19.3,19.9,20.1,20.3,"MI"
"Minnesota",72,22.9,22.3,23,22.9,22.8,"MN"
"Mississippi",100,18.7,18.6,18.2,18.8,18.7,"MS"
"Missouri",71,21.6,21.5,21,21.9,21.6,"MO"
"Montana",60,22.1,21.3,21.9,22.7,22,"MT"
"Nebraska",76,22.1,21.8,21.7,22.3,22,"NE"
"Nevada",31,21.4,20.7,21.4,21.8,21.3,"NV"
"New Hampshire",18,23.7,23.7,23.7,24.1,23,"NH"
"New Jersey",19,23.2,23.1,23.7,23.3,22.4,"NJ"
"New Mexico",72,19.8,19,19.5,20.2,20,"NM"
"New York",28,23.4,22.7,23.8,23.5,23,"NY"
"North Carolina",18,21.9,21.2,22.4,22.2,21.4,"NC"
"North Dakota",98,20.7,19.8,20.8,20.8,20.8,"ND"
"Ohio",69,21.8,21.1,21.5,22.1,21.8,"OH"
"Oklahoma",76,20.7,20.5,19.9,21.3,20.6,"OK"
"Oregon",35,21.5,20.6,21.6,21.8,21.2,"OR"
"Pennsylvania",17,22.3,21.9,22.6,22.6,21.8,"PA"
"Rhode Island",12,23,23.1,22.8,23.5,22.1,"RI"
"South Carolina",56,20.1,19.4,20.3,20.3,20.1,"SC"
"South Dakota",81,21.8,21,21.8,22,22.1,"SD"
"Tennessee",100,19.5,19.4,19,19.7,19.4,"TN"
"Texas",36,20.8,19.6,21.5,20.7,20.8,"TX"
"Utah",73,21.8,21.4,21.2,22.3,21.7,"UT"
"Vermont",28,22.7,22.5,22.6,23,22.2,"VT"
"Virginia",24,22.3,22.1,22.2,22.7,21.8,"VA"
"Washington",20,22.8,22.3,22.9,23.1,22.3,"WA"
"West Virginia",65,20.6,20.6,19.5,21.2,20.5,"WV"
"Wisconsin",71,22.2,21.6,22.1,22.2,22.3,"WI"
"Wyoming",100,20.3,19.4,20,20.8,20.4,"WY"
