"state","percent_tested","composite","english","math","reading","science","code"
"Alabama",76,20.3,20.5,19.5,20.7,20.1,"AL"
"Alaska",29,21,20.1,21.1,21.7,20.7,"AK"
"Arizona",15,21.9,21.3,22.1,22.4,21.3,"AZ"
"Arkansas",73,20.6,20.6,20.1,21,20.2,"AR"
"California",19,22.2,21.8,22.8,22.4,21.4,"CA"
"Colorado",100,20.8,20.1,20.5,21.1,20.8,"CO"
"Connecticut",21,23.5,23.6,23.5,24,22.6,"CT"
"Delaware",11,22.6,22.2,22.5,23.1,22,"DE"
"District of Columbia",30,19.4,19.1,19.5,19.7,18.6,"DC"
"Florida",62,19.5,18.7,19.7,20.2,19,"FL"
"Georgia",40,20.6,20.1,20.6,20.9,20.3,"GA"
"Hawaii",22,21.5,20.9,22.1,21.4,21,"HI"
"Idaho",58,21.6,20.9,21.3,22.3,21.4,"ID"
"Illinois",97,20.8,20.5,20.7,20.8,20.7,"IL"
"Indiana",24,22.2,21.6,22.4,22.6,21.6,"IN"
"Iowa",59,22.4,21.9,21.9,22.9,22.4,"IA"
"Kansas",74,21.9,21.4,21.7,22.4,21.8,"KS"
"Kentucky",100,19.4,18.8,19,19.8,19.7,"KY"
"Louisiana",89,20.1,20.3,19.6,20.2,20,"LA"
"Maine",9,23.1,23,23,23.6,22.3,"ME"
"Maryland",17,22.1,21.9,22.1,22.5,21.5,"MD"
"Massachusetts",18,23.9,23.9,24.3,24.3,22.8,"MA"
"Michigan",100,19.6,18.6,19.6,19.6,20.1,"MI"
"Minnesota",68,22.7,22,22.7,23.1,22.6,"MN"
"Mississippi",93,18.9,19.1,18.3,19,18.7,"MS"
"Missouri",67,21.6,21.5,20.9,22.1,21.5,"MO"
"Montana",54,22,21.2,21.7,22.7,21.7,"MT"
"Nebraska",72,22.1,21.9,21.8,22.5,22,"NE"
"Nevada",30,21.5,20.9,21.4,22,21,"NV"
"New Hampshire",15,23.5,23.3,23.4,24.1,22.6,"NH"
"New Jersey",16,23.1,22.9,23.5,23.2,22.1,"NJ"
"New Mexico",65,20,19.3,19.6,20.7,20,"NM"
"New York",25,23.1,22.5,23.4,23.3,22.7,"NY"
"North Carolina",15,21.6,20.9,22,21.9,21.1,"NC"
"North Dakota",78,21.5,20.7,21.5,21.8,21.6,"ND"
"Ohio",64,21.7,21.1,21.4,22.2,21.7,"OH"
"Oklahoma",71,20.7,20.5,19.9,21.4,20.5,"OK"
"Oregon",33,21.4,20.5,21.5,21.9,21.1,"OR"
"Pennsylvania",14,22.1,21.7,22.2,22.4,21.5,"PA"
"Rhode Island",10,22.8,23,22.5,23.4,21.8,"RI"
"South Carolina",50,19.8,19.2,20,19.9,19.8,"SC"
"South Dakota",74,22,21.2,21.8,22.3,22,"SD"
"Tennessee",92,20.6,20.7,19.8,21,20.4,"TN"
"Texas",30,20.8,19.9,21.3,20.9,20.6,"TX"
"Utah",68,21.8,21.4,21.1,22.6,21.6,"UT"
"Vermont",24,23.1,22.9,22.9,23.7,22.5,"VT"
"Virginia",20,21.9,21.7,21.8,22.3,21.4,"VA"
"Washington",18,22.8,22.4,22.9,23.5,22.1,"WA"
"West Virginia",62,20.7,20.8,19.6,21.4,20.5,"WV"
"Wisconsin",67,22.3,21.7,22.2,22.6,22.3,"WI"
"Wyoming",99,20,18.9,19.8,20.4,20.2,"WY"
