"state","rank","percent_tested","critical_reading","math","writing","combined","code"
"Alabama",23,8,538,531,527,1596,"AL"
"Alaska",35,54,512,507,485,1504,"AK"
"Arizona",30,27,517,525,499,1541,"AZ"
"Arkansas",16,4,565,566,549,1680,"AR"
"California",36,55,495,512,496,1503,"CA"
"Colorado",12,17,575,581,562,1718,"CO"
"Connecticut",31,88,506,512,510,1528,"CT"
"Delaware",51,100,456,462,444,1362,"DE"
"District of Columbia",50,83,466,460,456,1382,"DC"
"Florida",42,66,492,492,476,1460,"FL"
"Georgia",44,81,488,489,475,1452,"GA"
"Hawaii",46,66,478,500,467,1445,"HI"
"Idaho",21,20,547,541,525,1613,"ID"
"Illinois",1,5,596,615,587,1798,"IL"
"Indiana",39,69,493,501,476,1470,"IN"
"Iowa",2,3,603,606,580,1789,"IA"
"Kansas",9,6,584,594,561,1739,"KS"
"Kentucky",11,6,579,575,566,1720,"KY"
"Louisiana",22,9,542,536,529,1607,"LA"
"Maine",49,93,470,472,452,1394,"ME"
"Maryland",37,74,497,502,488,1487,"MD"
"Massachusetts",27,89,513,530,508,1551,"MA"
"Michigan",7,4,586,603,574,1763,"MI"
"Minnesota",4,7,592,606,573,1771,"MN"
"Mississippi",18,4,561,544,551,1656,"MS"
"Missouri",8,5,589,592,575,1756,"MO"
"Montana",24,28,536,536,511,1583,"MT"
"Nebraska",10,5,576,585,562,1723,"NE"
"Nevada",45,49,491,493,466,1450,"NV"
"New Hampshire",25,75,521,525,510,1556,"NH"
"New Jersey",34,78,495,517,499,1511,"NJ"
"New Mexico",19,13,550,546,529,1625,"NM"
"New York",43,90,483,500,475,1458,"NY"
"North Carolina",40,68,491,506,472,1469,"NC"
"North Dakota",6,3,588,610,568,1766,"ND"
"Ohio",20,19,543,552,525,1620,"OH"
"Oklahoma",17,5,568,566,546,1680,"OK"
"Oregon",29,57,521,523,498,1542,"OR"
"Pennsylvania",38,74,491,501,480,1472,"PA"
"Rhode Island",41,69,490,491,485,1466,"RI"
"South Carolina",48,73,481,488,462,1431,"SC"
"South Dakota",5,3,589,610,570,1769,"SD"
"Tennessee",13,10,576,570,566,1712,"TN"
"Texas",47,62,474,499,461,1434,"TX"
"Utah",15,6,568,566,548,1682,"UT"
"Vermont",28,69,519,523,505,1547,"VT"
"Virginia",32,72,510,512,495,1517,"VA"
"Washington",26,58,519,530,503,1552,"WA"
"West Virginia",33,17,516,502,497,1515,"WV"
"Wisconsin",3,4,594,605,577,1776,"WI"
"Wyoming",14,5,567,579,549,1695,"WY"
