"state","percent_tested","composite","english","math","reading","science","code"
"Alabama",80,20.6,20.7,19.5,21.3,20.4,"AL"
"Alaska",37,21,19.9,21.1,21.6,20.8,"AK"
"Arizona",55,19.7,18.8,20.2,20,19.5,"AZ"
"Arkansas",93,20.4,20.1,19.9,20.8,20.3,"AR"
"California",29,22.3,21.8,22.8,22.3,21.7,"CA"
"Colorado",100,20.6,20.1,20.4,20.9,20.6,"CO"
"Connecticut",29,24.2,24.2,24.1,24.5,23.6,"CT"
"Delaware",18,23.2,22.7,23.2,23.7,22.9,"DE"
"District of Columbia",37,21.6,21.2,21.5,22,21.1,"DC"
"Florida",81,19.6,18.7,19.5,20.7,19.1,"FL"
"Georgia",53,20.8,20.3,20.5,21.4,20.7,"GA"
"Hawaii",90,18.2,16.9,19,18.3,18.1,"HI"
"Idaho",45,22.4,21.9,22,23,22.1,"ID"
"Illinois",100,20.7,20.3,20.7,20.8,20.5,"IL"
"Indiana",40,21.9,21.1,21.9,22.3,21.6,"IN"
"Iowa",68,22,21.5,21.4,22.5,22.2,"IA"
"Kansas",75,22,21.4,21.7,22.5,21.8,"KS"
"Kentucky",100,19.9,19.4,19.4,20.3,20,"KY"
"Louisiana",100,19.2,18.9,18.9,19.5,19.1,"LA"
"Maine",9,23.6,23.3,23.6,24.1,22.8,"ME"
"Maryland",22,22.6,22.1,22.5,23,22.2,"MD"
"Massachusetts",23,24.3,24,24.6,24.5,23.5,"MA"
"Michigan",100,20.1,19.3,19.9,20.2,20.4,"MI"
"Minnesota",76,22.9,22.1,23,23.1,22.9,"MN"
"Mississippi",100,19,18.8,18.3,19.4,18.9,"MS"
"Missouri",76,21.8,21.6,21.1,22.3,21.7,"MO"
"Montana",100,20.5,19.3,20.5,21.1,20.4,"MT"
"Nebraska",86,21.7,21.3,21.1,22,21.7,"NE"
"Nevada",36,21.2,20.2,21.2,21.7,21.1,"NV"
"New Hampshire",20,24.2,23.9,24.2,24.5,23.6,"NH"
"New Jersey",25,23.1,22.8,23.7,23.1,22.4,"NJ"
"New Mexico",69,19.9,18.9,19.7,20.5,20.1,"NM"
"New York",27,23.4,22.7,23.8,23.6,23.2,"NY"
"North Carolina",100,18.9,17.5,19.6,19,18.9,"NC"
"North Dakota",100,20.6,19.6,20.7,20.8,20.6,"ND"
"Ohio",72,22,21.4,21.7,22.4,22,"OH"
"Oklahoma",75,20.7,20.3,19.9,21.5,20.8,"OK"
"Oregon",36,21.4,20.8,21.4,21.9,21.1,"OR"
"Pennsylvania",19,22.7,22.1,22.8,23,22.2,"PA"
"Rhode Island",16,22.9,22.7,22.8,23.6,22,"RI"
"South Carolina",58,20.4,19.7,20.3,20.9,20.4,"SC"
"South Dakota",78,21.9,21,21.8,22.3,22.1,"SD"
"Tennessee",100,19.8,19.6,19.2,20.1,19.6,"TN"
"Texas",40,20.9,19.8,21.4,21.1,21,"TX"
"Utah",100,20.8,20,20.3,21.3,20.9,"UT"
"Vermont",29,23.2,22.8,23,23.7,22.8,"VT"
"Virginia",28,22.8,22.4,22.7,23.4,22.4,"VA"
"Washington",22,23,22.3,23.3,23.4,22.7,"WA"
"West Virginia",65,20.6,20.4,19.5,21.4,20.6,"WV"
"Wisconsin",73,22.2,21.6,22,22.4,22.3,"WI"
"Wyoming",100,20.1,19.3,19.9,20.6,20.2,"WY"
